,id,post_id,likes,comments,shares,caption,contains_emoji,does_not_contain_emoji,contains_hashtag,Unnamed: 9,accounts_reached,timestamp,media_type,time_of_day,followers_gained,engagement_rate
0,1,18276775426216214,1324,6,118,Lane has life on easy mode 😭 #VivaLaYotes,True,False,True,,10988,2024-12-02T00:49:31+0000,IMAGE,night,1,0.13178012377138698
1,2,18050446366968837,1437,0,117,"Happy Thanksgiving, Yotes 🍁🍽 🦃 #VivaLaYotes",True,False,True,,16977,2024-11-28T16:21:57+0000,IMAGE,afternoon,1,0.09153560699770277
2,3,18098071018470047,1574,3,64,I’m eating my thanksgiving dinner hungover tomorrow #VivaLaYotes,False,True,True,,11615,2024-11-27T23:41:46+0000,CAROUSEL_ALBUM,night,0,0.14128282393456737
3,4,18093455356496216,976,4,38,CONGRATULATIONS TO THE 2024 USD BACHELORETTE @sadie_strait 🌹💍 Big thanks to everyone that participated!! Maybe there will be a new USD bachelor in the near future..🤫 #VivaLaYotes,True,False,True,,14060,2024-11-26T23:55:26+0000,CAROUSEL_ALBUM,night,2,0.07240398293029872
4,5,18076066087597873,2188,11,180,I have so many questions 🤣 #VivaLaYotes,False,True,True,,15525,2024-11-25T23:12:28+0000,CAROUSEL_ALBUM,night,4,0.1532367149758454
5,6,18043121780150631,2382,17,219,Surprised verm didn’t burn down last night 🫠🫠 #SundayScaries #VivaLaYotes,False,True,True,,21665,2024-11-24T23:36:26+0000,CAROUSEL_ALBUM,night,7,0.12084006462035542
6,7,17967652967688354,1719,3,68,LETS FUCKING RAGE TN YOTES 🔥🔥🔥 #HornsDown #VivaLaYotes (via @tay.durst ),True,False,True,,15739,2024-11-23T23:03:00+0000,CAROUSEL_ALBUM,night,3,0.11373022428362665
7,8,18027505967593552,2337,3,190,NDSU IS SO WASHED 🤣🤣🤣🤣 @barstoolndsu #VivaLaYotes,False,True,True,,35723,2024-11-23T22:31:44+0000,CAROUSEL_ALBUM,night,8,0.07082271925650141
8,9,17951789570855085,1131,13,8,@barstoolndsu You guys are dust🤡🤡🤡🤡 #VivaLaYotes,False,True,True,,13346,2024-11-23T15:03:02+0000,IMAGE,afternoon,0,0.08631799790199311
9,10,18046335419101250,638,0,13,🌹VOTING IS LIVE ON STORY🌹 #VivaLaYotes,True,False,True,,15820,2024-11-21T02:44:41+0000,CAROUSEL_ALBUM,night,3,0.04115044247787611
10,11,17944897718911684,1488,0,69,UND SUCKS ASS. YOTES ON TOP 😈🔥 #WhosYourDaddy #VivaLaYotes,True,False,True,,13734,2024-11-16T21:45:48+0000,CAROUSEL_ALBUM,night,2,0.11336828309305373
11,12,18123410530401452,1383,4,389,Jake Paul beat up an elderly man #VivaLaYotes,False,True,True,,17268,2024-11-16T07:14:38+0000,IMAGE,morning,1,0.10284920083391244
