id,post_id,likes,comments,shares,contains_emoji,does_not_contain_emoji,contains_hashtag,accounts_reached,followers_gained,hashtag_count,year,month,week,day,hour,caption_length,day_of_week,media_type_VIDEO,media_type_CAROUSEL,media_type_PHOTO,day_posted_monday,day_posted_tuesday,day_posted_wednesday,day_posted_thursday,day_posted_friday,day_posted_saturday,day_posted_sunday
25,17861135372809410,0.014200500288628,0.0,0.0,0,1,1,0.0166651876830242,0.0,0.3333333333333333,2022,12,48,4,20,0.1173333333333333,7,0,0,0,0,0,0,0,0,0,1
24,17950603340470010,0.0170482970944775,0.0327102803738317,0.0,0,1,1,0.0,0.0,0.3333333333333333,2022,12,49,5,17,0.1653333333333333,1,1,0,0,1,0,0,0,0,0,0
23,18191906815232317,0.0142582258995574,0.0,0.0003158725980521,0,1,1,0.0187949241281391,0.0,0.6666666666666666,2022,12,49,7,2,0.1226666666666666,3,0,0,0,0,0,1,0,0,0,0
22,17957685317071869,0.0188955166442178,0.0093457943925233,0.0,0,1,1,0.0165764486644777,0.0,0.3333333333333333,2022,12,49,7,22,0.0693333333333333,3,0,0,0,0,0,1,0,0,0,0
21,17932921427575161,0.0178949393881085,0.0233644859813084,0.0,0,1,1,0.0197000621173129,0.0,0.3333333333333333,2022,12,49,8,20,0.072,4,0,0,0,0,0,0,1,0,0,0
20,17962325864130041,0.0579757552434096,0.102803738317757,0.0002105817320347,0,1,1,0.027207383086343,0.0277777777777777,0.3333333333333333,2022,12,49,9,18,0.0853333333333333,5,0,0,0,0,0,0,0,1,0,0
19,18333195979029632,0.0293823359630556,0.0514018691588785,0.000157936299026,0,1,1,0.0236223267370662,0.0,0.3333333333333333,2022,12,49,10,22,0.072,6,0,0,0,0,0,0,0,0,1,0
18,17939507480344050,0.0163940735039445,0.0,0.0,0,1,1,0.0180317685686396,0.0,0.3333333333333333,2022,12,49,11,22,0.1733333333333333,7,0,0,0,0,0,0,0,0,0,1
17,17996663542587706,0.0064652684240908,0.0420560747663551,0.0,0,1,1,0.0,0.0,0.3333333333333333,2022,12,50,12,23,0.0506666666666666,1,1,0,0,1,0,0,0,0,0,0
16,17922015185525999,0.0118529921108331,0.0,0.000157936299026,0,1,1,0.0290709024758186,0.0,0.6666666666666666,2022,12,50,13,23,0.0933333333333333,2,0,0,0,0,1,0,0,0,0,0
15,18088704355308827,0.0151625938041177,0.0093457943925233,0.000157936299026,0,1,1,0.0,0.0,0.3333333333333333,2022,12,50,14,21,0.0453333333333333,3,1,0,0,0,0,1,0,0,0,0
14,17954555852496484,0.0214739272657302,0.02803738317757,0.0,0,1,1,0.0385837252639985,0.0,0.3333333333333333,2022,12,50,15,21,0.0773333333333333,4,0,0,0,0,0,0,1,0,0,0
13,17966600714030523,0.0197614008081585,0.0327102803738317,0.0004211634640694,0,1,1,0.0384949862454521,0.0277777777777777,0.3333333333333333,2022,12,50,16,21,0.1946666666666666,5,0,0,0,0,0,0,0,1,0,0
12,17997498121598661,0.0047719838368289,0.0233644859813084,0.0,1,0,1,0.0356553376519655,0.0,0.3333333333333333,2022,12,50,18,0,0.0346666666666666,7,0,0,0,0,0,0,0,0,0,1
11,17876625467746784,0.0155281893400038,0.0467289719626168,5.26454330086865e-05,0,1,1,0.0,0.0,0.3333333333333333,2022,12,50,18,20,0.0613333333333333,7,1,0,0,0,0,0,0,0,0,1
10,17969929837997627,0.0253030594573792,0.0046728971962616,0.000157936299026,0,1,1,0.0214393468808235,0.0277777777777777,0.3333333333333333,2022,12,51,19,22,0.112,1,0,0,0,1,0,0,0,0,0,0
