id,post_id,likes,comments,shares,caption,contains_emoji,does_not_contain_emoji,contains_hashtag,,accounts_reached,timestamp,media_type,time_of_day,followers_gained
1,18276775426216214,1324,6,118,Lane has life on easy mode 😭 #VivaLaYotes,TRUE,FALSE,TRUE,,10988,2024-12-02T00:49:31+0000,IMAGE,night,1
2,18050446366968837,1437,0,117,"Happy Thanksgiving, Yotes 🍁🍽 🦃 #VivaLaYotes",TRUE,FALSE,TRUE,,16977,2024-11-28T16:21:57+0000,IMAGE,afternoon,1
3,18098071018470047,1574,3,64,I’m eating my thanksgiving dinner hungover tomorrow #VivaLaYotes,FALSE,TRUE,TRUE,,11615,2024-11-27T23:41:46+0000,CAROUSEL_ALBUM,night,0
4,18093455356496216,976,4,38,CONGRATULATIONS TO THE 2024 USD BACHELORETTE @sadie_strait 🌹💍 Big thanks to everyone that participated!! Maybe there will be a new USD bachelor in the near future..🤫 #VivaLaYotes,TRUE,FALSE,TRUE,,14060,2024-11-26T23:55:26+0000,CAROUSEL_ALBUM,night,2
5,18076066087597873,2188,11,180,I have so many questions 🤣 #VivaLaYotes,FALSE,TRUE,TRUE,,15525,2024-11-25T23:12:28+0000,CAROUSEL_ALBUM,night,4
6,18043121780150631,2382,17,219,Surprised verm didn’t burn down last night 🫠🫠 #SundayScaries #VivaLaYotes,FALSE,TRUE,TRUE,,21665,2024-11-24T23:36:26+0000,CAROUSEL_ALBUM,night,7
7,17967652967688354,1719,3,68,LETS FUCKING RAGE TN YOTES 🔥🔥🔥 #HornsDown #VivaLaYotes (via @tay.durst ),TRUE,FALSE,TRUE,,15739,2024-11-23T23:03:00+0000,CAROUSEL_ALBUM,night,3
8,18027505967593552,2337,3,190,NDSU IS SO WASHED 🤣🤣🤣🤣 @barstoolndsu #VivaLaYotes,FALSE,TRUE,TRUE,,35723,2024-11-23T22:31:44+0000,CAROUSEL_ALBUM,night,8
9,17951789570855085,1131,13,8,@barstoolndsu You guys are dust🤡🤡🤡🤡 #VivaLaYotes,FALSE,TRUE,TRUE,,13346,2024-11-23T15:03:02+0000,IMAGE,afternoon,0
10,18046335419101250,638,0,13,🌹VOTING IS LIVE ON STORY🌹 #VivaLaYotes,TRUE,FALSE,TRUE,,15820,2024-11-21T02:44:41+0000,CAROUSEL_ALBUM,night,3
11,17944897718911684,1488,0,69,UND SUCKS ASS. YOTES ON TOP 😈🔥 #WhosYourDaddy #VivaLaYotes,TRUE,FALSE,TRUE,,13734,2024-11-16T21:45:48+0000,CAROUSEL_ALBUM,night,2
12,18123410530401452,1383,4,389,Jake Paul beat up an elderly man #VivaLaYotes,FALSE,TRUE,TRUE,,17268,2024-11-16T07:14:38+0000,IMAGE,morning,1
13,17968785782802084,1279,2,50,No caption needed. UND is gonna get wiped tomorrow 🤡🤡🤡 @stoolnorthdakota #VivaLaYotes,FALSE,TRUE,TRUE,,13202,2024-11-15T19:01:52+0000,CAROUSEL_ALBUM,night,1
14,18041072717271506,533,2,31,There’s absolutely no way 🤣 #VivaLaYotes (via @mike_larvie),FALSE,TRUE,TRUE,,0,2024-11-12T22:40:52+0000,VIDEO,night,0
15,18008927984653920,1820,3,41,Yotes win. 😈 #VivaLaYotes,TRUE,FALSE,TRUE,,17549,2024-11-09T23:21:01+0000,CAROUSEL_ALBUM,night,4
16,18050641735803631,1372,1,23,Definition of “whatever it takes” 😭 #VivaLaYotes,TRUE,FALSE,TRUE,,12774,2024-11-08T15:55:33+0000,CAROUSEL_ALBUM,afternoon,2
17,18462717898047193,1457,14,131,Party foul 😪 #VivaLaYotes,TRUE,FALSE,TRUE,,0,2024-11-08T01:22:50+0000,VIDEO,night,0
18,18280965127173329,1588,3,27,"With your help, Charlie the Coyote has been elected the 47th President of the United States!! #VivaLaYotes",FALSE,TRUE,TRUE,,13332,2024-11-06T15:22:13+0000,IMAGE,afternoon,1
19,17859841263224240,2458,9,146,Halloweekend dump 🫠 #VivaLaYotes,FALSE,TRUE,TRUE,,18454,2024-11-03T23:00:07+0000,CAROUSEL_ALBUM,night,1
20,18359300683141642,1880,0,24,Halloweekend is not real. #VivaLaYotes,FALSE,TRUE,TRUE,,13753,2024-11-02T15:56:23+0000,CAROUSEL_ALBUM,afternoon,1
